,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTE:,"Data in this spreadsheet are grouped by operation. Generally, the arrangement is chronological.",,,,SUBJECT STATUS TERMS,,SAMPLE  STATUS TERMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Some of the fields may not be used for all experiemnts.  It's ok to leave things empty.,,,,STORED,,STORED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cells where data is to be entered are highlighted in Blue,,,,quenched,,requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cells not to change are highlighted in Pink (the cells are calculations or reference another place in the metadata),,,,extracted,,run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"To document fewer or more samples, insert or delete ROWS to each data table. There is currently room for 12 subjects.",,,,lyophilized,,Used/Discarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"To add a field to any table, insert blocks of cells so that other tables are not affected.",,,,,,Used/Recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"To add descriptions of operations between steps or detailed description of a specific step, insert ROWS between tables.",,,,,,Processed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,To add more media time point extractions copy rows 587 through 667 and paste them at the bottom of the worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UPLOAD:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WARNING:,DO NOT type in column A. This is for the #tags.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DO NOT delete or add columns to the entire sheet. (whole rows are ok),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"In this area, define cell lines and any other abbreviations to be used (ok to add whole rows)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,example:,Define terms used in subjects (ex. PC9-EV),Description (ex. PC9 lentiviral infected with empty vector),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,allo,allogenic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,syn,syngenic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GVHD,graft versus host disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B6D2F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
