#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_SUMMARY        	Targeted IC
CH:CHROMATOGRAPHY_TYPE           	Targeted IC
CH:COLUMN_NAME                   	Dionex IonPac AS11-HC-4um 2 mm i.d. x 250 mm
CH:INSTRUMENT_NAME               	Thermo Dionex ICS-5000+
#COLLECTION
CO:COLLECTION_PROTOCOL_FILENAME  	mouse_tissue_procedure.pdf
CO:COLLECTION_PROTOCOL_ID        	mouse_tissue_collection
CO:COLLECTION_SUMMARY            	Mouse is sacrificed and tissues are harvested.
CO:SAMPLE_TYPE                   	mouse
#METABOLOMICS WORKBENCH ANALYSIS_ID:AN000000 STUDY_ID:ST000000
CREATED_ON          	2023-05-04
VERSION             	1
#MS
MS:INSTRUMENT_NAME               	Orbitrap Fusion
MS:INSTRUMENT_TYPE               	IC-FTMS
MS:ION_MODE                      	NEGATIVE
MS:MS_COMMENTS                   	ICMS Analytical Experiment with detection of compounds by comparison to
MS:MS_COMMENTS                   	standards. 
Thermo RAW files are loaded into TraceFinder and peaks are manually
MS:MS_COMMENTS                   	curated. The area under the chromatograms is then exported to an Excel file. The
MS:MS_COMMENTS                   	area is then corrected for natural abundance. The natural abundance corrected
MS:MS_COMMENTS                   	area is then used to calculate the concentration of each compound for each
MS:MS_COMMENTS                   	sample. This calculation is done using standards. The first sample ran on the
MS:MS_COMMENTS                   	ICMS is a standard that has known concentrations of certain compounds. Then a
MS:MS_COMMENTS                   	number of samples are ran (typically 3-4) followed by another standard. The
MS:MS_COMMENTS                   	equation to calculate the concentration is "intensity in sample"/("intensity in
MS:MS_COMMENTS                   	first standard" + (("intensity in second standard" - "intensity in first
MS:MS_COMMENTS                   	standard")/# of samples) * "known concentration in standard", where the
MS:MS_COMMENTS                   	"intensity" is the aforementioned natural abundance corrected area, and the
MS:MS_COMMENTS                   	unlabeled intensity from the standard is used for all isotopologues of the
MS:MS_COMMENTS                   	compound. The reconstitution volume is simply the volume that the polar part of
MS:MS_COMMENTS                   	the sample was reconstituted to before going into the ICMS. The injection volume
MS:MS_COMMENTS                   	is how much of the reconstitution volume was injected into the ICMS. The protein
MS:MS_COMMENTS                   	is how much protein was in the entire sample (not only the small portion that was
MS:MS_COMMENTS                   	aliquoted for the ICMS). The polar split ratio is the fraction of the polar part
MS:MS_COMMENTS                   	of the sample that was aliquoted for the ICMS. This is calculated by dividing the
MS:MS_COMMENTS                   	weight of the polar aliquot for ICMS by the total weight of the polar portion of
MS:MS_COMMENTS                   	the sample. The protein normalized concentration is calculated using the
MS:MS_COMMENTS                   	equation, concentration * (reconstitution volume / 1000 / polar split ratio /
MS:MS_COMMENTS                   	protein).
MS:MS_TYPE                       	ESI
#MS_METABOLITE_DATA
MS_METABOLITE_DATA_START
Samples	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A
Factors	Treatment:naive | Time Point:0	Treatment:naive | Time Point:0	Treatment:naive | Time Point:0	Treatment:syngenic | Time Point:42	Treatment:syngenic | Time Point:42	Treatment:syngenic | Time Point:42	Treatment:allogenic | Time Point:42	Treatment:allogenic | Time Point:42	Treatment:allogenic | Time Point:42	Treatment:syngenic | Time Point:7	Treatment:syngenic | Time Point:7	Treatment:syngenic | Time Point:7	Treatment:allogenic | Time Point:7	Treatment:allogenic | Time Point:7	Treatment:allogenic | Time Point:7
(S)-2-Acetolactate Glutaric acid Methylsuccinic acid-13C0	16103434.00085152	10483483.72051263	28893243.0437998	12962882.76330671	19289797.07753828	24316394.41932141	19340458.0700383	12706930.80969654	16147606.8990529	15517941.51645498	15873283.44704193	16619709.3245362	17235229.35025252	13678199.85193406	17266650.28389169
(S)-2-Acetolactate Glutaric acid Methylsuccinic acid-13C1	0	0	0	0	0	349129.0112252904	1657141.622446498	670498.7713136111	0	0	0	0	323166.7936679985	0	1183913.467536308
(S)-2-Acetolactate Glutaric acid Methylsuccinic acid-13C2	11618.226888919	1302.061793896565	0	2725.849980589762	0	208449.8689286505	1082089.659834802	270927.7697541619	4520.750274843255	15140.36304508109	13743.99899445776	10958.47213873173	186627.0552902395	130803.2303735159	697536.7895627685
(S)-2-Acetolactate Glutaric acid Methylsuccinic acid-13C3	8948.092381097034	10475.51466226812	1864.194276036897	9009.418373056196	6345.673159777398	65173.9080641774	379396.7710029843	34048.80648710652	5428.097115595527	4657.2346332027	8162.882764403549	5207.230705322278	65100.09241224374	94711.1067363239	283782.6267757986
(S)-2-Acetolactate Glutaric acid Methylsuccinic acid-13C4	6588.25123977719	10689.31457598022	3705.78074498728	1830.786972432207	9495.788677815315	47493.38761255396	91501.45471083834	24315.31369384385	4306.791560880254	7909.639625220932	7532.421294260035	2421.215341605066	32054.20639545354	54422.64252121472	73825.2434574064
(S)-3-Sulfonatolactate-13C0	43294.47187595062	21227.32186131077	82721.66036220654	32479.74720103351	54686.0847021739	62451.10203964835	71467.37489535536	42428.24127282243	33324.2679425516	29954.72285050719	58786.65295331713	23253.40548651032	52670.51638684939	25854.42931163469	20956.41712002409
(S)-3-Sulfonatolactate-13C1	0	449.0188773829552	3794.927687361513	1064.134861250626	0	0	0	322.630852194466	0	1267.150439602474	354.2150750527106	1060.350560436184	3003.585851105047
(S)-3-Sulfonatolactate-13C2	498.2045226890707	211.3140759377372	583.2453448994745	991.9719558976672	894.1274142449412	917.2638439993286	1291.088880616699
(S)-3-Sulfonatolactate-13C3	1437.347701694684	2335.451159994417	630.6625694442193	1188.310080746418	359.613496179363	303.0831695305668	622.551575240593	665.4632450699037	2542.397063120984	2089.748899081282
1-Pyrroline 2-carboxylate 1-Pyrroline-5-carboxylate-13C0	7905526.631594676	2814569.246102672	980814.2477723341	7135130.898532427	1260482.127111898	9028292.089283284	10070184.4259487	14550721.09767203	4433017.563840058	6577071.852181694	7952993.9546488	2541862.953932082	1063943.254269983	318912.9694850881	827064.7511977629
1-Pyrroline 2-carboxylate 1-Pyrroline-5-carboxylate-13C1	43385.80421496306	35039.84931060861	0	0	72280.4659045481	560862.2349520766	2243173.79776713	2249883.008738399	192364.141735483	190369.3815342722	0	56572.71782877912	37222.69298558818	36172.40585671545	74618.40888390857
1-Pyrroline 2-carboxylate 1-Pyrroline-5-carboxylate-13C2	241705.540710246	155555.1489974945	23279.94958907497	152272.3166950063	148329.7168023544	749779.8105278944	2152443.80677234	1568106.62298209	436335.5948457686	272139.01673796	186098.8380020749	181520.2471876493	66640.36530642942	69142.66878640026	216757.1507836705
1-Pyrroline 2-carboxylate 1-Pyrroline-5-carboxylate-13C3	4814840.49917245	4706363.359675072	1525894.629482405	4000440.134630759	3646843.954192947	11546275.06835588	13461563.2616698	8013037.554697614	12911739.33572838	6950350.506902716	4541358.015050909	8716688.750269892	2355300.583061011	4168966.951240289	8895181.126300175
1-Pyrroline 2-carboxylate 1-Pyrroline-5-carboxylate-13C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-BPG-13C0	342729976.5604931	74210829.71688102	62727154.30438942	211777696.1170567	75036724.11553831	111571552.7244797	63942526.99946451	137643368.0015825	63498150.38557692	208877079.121334	342624825.8039795	49564879.84559869	55184947.07833812	15908425.54857781	31182736.89030687
